,Date,Open,High,Low,Close,Volume
0,20230704 03:30:00 Asia/Calcutta,4492.0,4492.0,4487.0,4489.0,428
1,20230704 03:31:00 Asia/Calcutta,4489.25,4489.25,4488.5,4488.75,135
2,20230704 03:32:00 Asia/Calcutta,4488.75,4489.5,4488.5,4489.25,96
3,20230704 03:33:00 Asia/Calcutta,4489.0,4489.25,4488.75,4489.0,46
4,20230704 03:34:00 Asia/Calcutta,4489.0,4489.0,4488.5,4488.5,58
5,20230704 03:35:00 Asia/Calcutta,4488.75,4488.75,4488.0,4488.25,112
6,20230704 03:36:00 Asia/Calcutta,4488.0,4488.75,4488.0,4488.75,50
7,20230704 03:37:00 Asia/Calcutta,4488.5,4488.5,4488.25,4488.25,14
8,20230704 03:38:00 Asia/Calcutta,4488.25,4488.25,4488.25,4488.25,8
9,20230704 03:39:00 Asia/Calcutta,4488.5,4488.75,4488.5,4488.5,25
10,20230704 03:40:00 Asia/Calcutta,4488.5,4488.5,4487.75,4487.75,129
11,20230704 03:41:00 Asia/Calcutta,4488.0,4488.25,4487.75,4488.0,66
12,20230704 03:42:00 Asia/Calcutta,4488.0,4488.5,4488.0,4488.25,29
13,20230704 03:43:00 Asia/Calcutta,4488.25,4488.5,4488.25,4488.5,2
14,20230704 03:44:00 Asia/Calcutta,4488.25,4488.5,4488.25,4488.5,6
15,20230704 03:45:00 Asia/Calcutta,4488.5,4488.5,4488.5,4488.5,7
16,20230704 03:46:00 Asia/Calcutta,4488.25,4488.5,4488.25,4488.25,25
17,20230704 03:47:00 Asia/Calcutta,4488.5,4489.0,4488.5,4488.75,64
18,20230704 03:48:00 Asia/Calcutta,4488.75,4489.0,4488.5,4489.0,49
19,20230704 03:49:00 Asia/Calcutta,4488.75,4488.75,4488.25,4488.75,68
20,20230704 03:50:00 Asia/Calcutta,4488.75,4488.75,4488.5,4488.5,61
21,20230704 03:51:00 Asia/Calcutta,4488.5,4488.75,4488.5,4488.5,39
22,20230704 03:52:00 Asia/Calcutta,4488.75,4489.25,4488.5,4489.0,192
23,20230704 03:53:00 Asia/Calcutta,4489.0,4489.0,4489.0,4489.0,10
24,20230704 03:54:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,13
25,20230704 03:55:00 Asia/Calcutta,4489.25,4489.25,4489.0,4489.25,46
26,20230704 03:56:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,1
27,20230704 03:57:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,3
28,20230704 03:58:00 Asia/Calcutta,4489.25,4489.5,4489.0,4489.25,21
29,20230704 03:59:00 Asia/Calcutta,4489.0,4489.0,4489.0,4489.0,6
30,20230704 04:00:00 Asia/Calcutta,4489.25,4489.25,4488.75,4489.25,46
31,20230704 04:01:00 Asia/Calcutta,4489.0,4489.0,4489.0,4489.0,17
32,20230704 04:02:00 Asia/Calcutta,4489.0,4489.0,4489.0,4489.0,2
33,20230704 04:03:00 Asia/Calcutta,4489.0,4489.5,4489.0,4489.0,83
34,20230704 04:04:00 Asia/Calcutta,4489.0,4489.25,4489.0,4489.0,45
35,20230704 04:05:00 Asia/Calcutta,4489.0,4489.5,4489.0,4489.25,50
36,20230704 04:06:00 Asia/Calcutta,4489.5,4489.5,4489.25,4489.25,28
37,20230704 04:07:00 Asia/Calcutta,4489.25,4489.5,4489.25,4489.5,26
38,20230704 04:08:00 Asia/Calcutta,4489.5,4489.5,4489.5,4489.5,2
39,20230704 04:09:00 Asia/Calcutta,4489.5,4489.5,4489.5,4489.5,1
40,20230704 04:10:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,5
41,20230704 04:11:00 Asia/Calcutta,4489.25,4489.25,4489.0,4489.0,21
42,20230704 04:12:00 Asia/Calcutta,4489.0,4489.0,4489.0,4489.0,3
43,20230704 04:13:00 Asia/Calcutta,4489.25,4489.25,4489.0,4489.25,17
44,20230704 04:14:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,9
45,20230704 04:15:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,2
46,20230704 04:16:00 Asia/Calcutta,4489.5,4489.5,4489.5,4489.5,2
47,20230704 04:17:00 Asia/Calcutta,4489.5,4489.5,4489.25,4489.25,3
48,20230704 04:18:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,8
49,20230704 04:19:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,0
50,20230704 04:20:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,12
51,20230704 04:21:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,25
52,20230704 04:22:00 Asia/Calcutta,4489.25,4489.25,4489.25,4489.25,11
53,20230704 04:23:00 Asia/Calcutta,4489.0,4489.0,4488.75,4488.75,15
54,20230704 04:24:00 Asia/Calcutta,4489.0,4489.25,4489.0,4489.25,32
55,20230704 04:25:00 Asia/Calcutta,4489.5,4489.5,4489.25,4489.25,3
56,20230704 04:26:00 Asia/Calcutta,4489.5,4489.5,4489.5,4489.5,1
57,20230704 04:27:00 Asia/Calcutta,4489.5,4489.5,4489.5,4489.5,0
